date;country;gdp
2011-Q2;Italy;414766.6
2011-Q2;Poland;95480.6
2011-Q1;Belgium;90847
2011-Q1;Germany;659010
2011-Q1;Spain;258719
2011-Q1;France;509222.2
2011-Q1;Italy;391696.2
2011-Q1;Poland;90944.5
2010-Q4;Belgium;96448
2010-Q4;Germany;668930
2010-Q4;Spain;279971
2010-Q4;France;516452.6
2010-Q4;Italy;432103.4
2010-Q4;Poland;102473.4
2010-Q3;Belgium;88635
2010-Q3;Germany;651380
2010-Q3;Spain;261706
2010-Q3;France;491302.4
2010-Q3;Italy;397904.2
2010-Q3;Poland;89350.66
2010-Q2;Belgium;91498
2010-Q2;Germany;627500
2010-Q2;Spain;273434
2010-Q2;France;499668.9
2010-Q2;Italy;403572.7
2010-Q2;Poland;87323.19
2010-Q1;Belgium;86559
2010-Q1;Germany;616590
2010-Q1;Spain;257598
2010-Q1;France;487866.4
2010-Q1;Italy;377699.1
2010-Q1;Poland;83123.98
2009-Q4;Belgium;91875
2009-Q4;Germany;635610
2009-Q4;Spain;278420
2009-Q4;France;499582.4
2009-Q4;Italy;421414.9
2009-Q4;Poland;91780.57
2009-Q3;Belgium;84648
2009-Q3;Germany;618740
2009-Q3;Spain;260550
2009-Q3;France;472452.4
2009-Q3;Italy;388721
2009-Q3;Poland;80357.81
2009-Q2;Belgium;86426
2009-Q2;Germany;597350
2009-Q2;Spain;272044
2009-Q2;France;484163
2009-Q2;Italy;392676
2009-Q2;Poland;74220.07
2009-Q1;Belgium;83524
2009-Q1;Germany;594030
2009-Q1;Spain;258309
2009-Q1;France;480231.4
2009-Q1;Italy;374444.1
2009-Q1;Poland;71376.81
2008-Q4;Belgium;90035
2008-Q4;Germany;640930
2008-Q4;Spain;286664
2008-Q4;France;504034.7
2008-Q4;Italy;425920.1
2008-Q4;Poland;95190.93
2008-Q3;Belgium;85932
2008-Q3;Germany;641490
2008-Q3;Spain;269860
2008-Q3;France;488188
2008-Q3;Italy;401961.2
2008-Q3;Poland;94922.77
2008-Q2;Belgium;89999
2008-Q2;Germany;637830
2008-Q2;Spain;285050
2008-Q2;France;504252.2
2008-Q2;Italy;415963.4
2008-Q2;Poland;91299.38
2008-Q1;Belgium;85776
2008-Q1;Germany;626240
2008-Q1;Spain;267967
2008-Q1;France;495904.5
2008-Q1;Italy;393854.8
2008-Q1;Poland;84462.93
2007-Q4;Belgium;90340
2007-Q4;Germany;647370
2007-Q4;Spain;285566
2007-Q4;France;504687.4
2007-Q4;Italy;434944.1
2007-Q4;Poland;92501.91
2007-Q3;Belgium;83630
2007-Q3;Germany;630140
2007-Q3;Spain;260915
2007-Q3;France;476524.7
2007-Q3;Italy;394741.7
2007-Q3;Poland;76651.45
2007-Q2;Belgium;86740
2007-Q2;Germany;614050
2007-Q2;Spain;272717
2007-Q2;France;484632.7
2007-Q2;Italy;403116.1
2007-Q2;Poland;75170.64
2007-Q1;Belgium;82909
2007-Q1;Germany;607990
